Date,Close,High,Low,Open,Volume,MA20,MA50,Signal,Regime,Crossover
2026-01-12,260.0067138671875,261.05572011368304,256.5599267903311,258.9177364764393,45263800,269.42589111328124,272.1407586669922,-1,Bearish,0.0
2026-01-13,260.8059387207031,261.56523797230057,258.148452318208,258.4781303943212,45730800,268.56519470214846,271.9392041015625,-1,Bearish,0.0
2026-01-14,259.71697998046875,261.57525710051715,256.4700180914029,259.247418118488,40019400,267.85835723876954,271.7364306640625,-1,Bearish,0.0
2026-01-15,257.9685974121094,260.7959687899761,256.8096782083212,260.40631875644857,39388600,267.03912353515625,271.52503967285156,-1,Bearish,0.0
2026-01-16,255.29112243652344,258.6579671912775,254.69167723491495,257.6589020182799,72142800,266.22438583374026,271.2403366088867,-1,Bearish,0.0
2026-01-20,246.46937561035156,254.55180921698133,243.19244305608962,252.49373739571587,80267500,264.9510772705078,270.7772021484375,-1,Bearish,0.0
2026-01-21,247.41848754882812,251.3248360900433,244.9507953165175,248.46750904444812,54641700,263.6512924194336,270.3404364013672,-1,Bearish,0.0
2026-01-22,248.1178436279297,250.76536025794266,247.9180183962477,248.96703988447874,39708300,262.5213508605957,269.94360809326173,-1,Bearish,0.0
2026-01-23,247.80812072753906,249.17685039145397,244.45126111041233,247.08880782235642,41689000,261.3064880371094,269.5162078857422,-1,Bearish,0.0
2026-01-26,255.17123413085938,256.32015295784896,249.5664780183616,251.24490015634893,55969200,260.3873489379883,269.1197790527344,-1,Bearish,0.0
2026-01-27,258.0285339355469,261.70511669708895,257.96859246831417,258.92771692213245,49648300,259.6315551757813,268.8160626220703,-1,Bearish,0.0
2026-01-28,256.2002868652344,258.61800761819165,254.27208306792676,257.409147241713,41288000,258.76636505126953,268.4861712646484,-1,Bearish,0.0
2026-01-29,258.0385437011719,259.4072580677027,254.17216647920577,257.75880668092503,67253000,258.0270568847656,268.20383544921873,-1,Bearish,0.0
2026-01-30,259.2374267578125,261.6551472598355,251.94423313215475,254.93144331105526,92443400,257.40863647460935,268.044384765625,-1,Bearish,0.0
2026-02-02,269.7575988769531,270.2371306501278,258.9676766447768,259.7869174093499,73913400,257.35868377685546,268.0957366943359,-1,Bearish,0.0
2026-02-03,269.22808837890625,271.6258386480508,267.3598109321867,268.9483513556569,64394700,257.469580078125,268.1141198730469,-1,Bearish,0.0
2026-02-04,276.23150634765625,278.68922850453845,272.03545112075,272.03545112075,90545700,258.17541961669923,268.31872802734375,-1,Bearish,0.0
2026-02-05,275.6520690917969,279.2387093202658,272.97458180817284,277.86999494352693,52977400,258.9536926269531,268.4070458984375,-1,Bearish,0.0
2026-02-06,277.8599853515625,280.6473855638201,276.67109542368036,276.8609202349588,50453400,259.90679931640625,268.4510040283203,-1,Bearish,0.0
2026-02-09,274.6199951171875,278.20001220703125,271.70001220703125,277.9100036621094,44623400,260.6814224243164,268.40918212890625,-1,Bearish,0.0
2026-02-10,273.67999267578125,275.3699951171875,272.94000244140625,274.8900146484375,34376900,261.3650863647461,268.3369714355469,-1,Bearish,0.0
2026-02-11,275.5,280.17999267578125,274.45001220703125,274.70001220703125,51931300,262.09978942871095,268.27518493652343,-1,Bearish,0.0
2026-02-12,261.7300109863281,275.7200012207031,260.17999267578125,275.5899963378906,81077200,262.20044097900393,267.8530780029297,-1,Bearish,0.0
2026-02-13,255.77999877929688,262.2300109863281,255.4499969482422,262.010009765625,56290700,262.0910110473633,267.25022888183594,-1,Bearish,0.0
2026-02-17,263.8800048828125,266.2900085449219,255.5399932861328,258.04998779296875,58469100,262.52045516967775,266.8501416015625,-1,Bearish,0.0
2026-02-18,264.3500061035156,266.82000732421875,262.45001220703125,263.6000061035156,34203300,263.41448669433595,266.5283898925781,-1,Bearish,0.0
2026-02-19,260.5799865722656,264.4800109863281,260.04998779296875,262.6000061035156,30845300,264.0725616455078,266.16960205078124,-1,Bearish,0.0
2026-02-20,264.5799865722656,264.75,258.1600036621094,258.9700012207031,42070500,264.8956687927246,265.9085974121094,-1,Bearish,0.0
2026-02-23,266.17999267578125,269.42999267578125,263.3800048828125,263.489990234375,37308200,265.8142623901367,265.69377990722654,1,Bullish,2.0
2026-02-24,272.1400146484375,274.8900146484375,267.7099914550781,267.8599853515625,47014600,266.66270141601564,265.5661926269531,1,Bullish,0.0
2026-02-25,274.2300109863281,274.94000244140625,271.04998779296875,271.7799987792969,33714300,267.4727752685547,265.4953912353516,1,Bullish,0.0
2026-02-26,272.95001220703125,276.1099853515625,270.79998779296875,274.95001220703125,32345100,268.31026153564454,265.393994140625,1,Bullish,0.0
2026-02-27,264.17999267578125,272.80999755859375,262.8900146484375,272.80999755859375,72366500,268.617333984375,265.20051940917966,1,Bullish,0.0
2026-03-02,264.7200012207031,266.5299987792969,260.20001220703125,262.4100036621094,41827900,268.8914627075195,265.00785400390623,1,Bullish,0.0
2026-03-03,263.75,265.55999755859375,260.1300048828125,263.4800109863281,38568900,268.59108276367186,264.85113647460935,1,Bullish,0.0
2026-03-04,262.5199890136719,266.1499938964844,261.4200134277344,264.6499938964844,39803100,268.2556777954102,264.66282531738284,1,Bullish,0.0
2026-03-05,260.2900085449219,261.55999755859375,257.25,260.7900085449219,49658600,267.45860290527344,264.400341796875,1,Bullish,0.0
2026-03-06,257.4599914550781,258.7699890136719,254.3699951171875,258.6300048828125,41120000,266.5489990234375,264.1352081298828,1,Bullish,0.0
2026-03-09,259.8800048828125,261.1499938964844,253.67999267578125,255.69000244140625,38218500,265.65,263.89070068359376,1,Bullish,0.0
2026-03-10,260.8299865722656,262.4800109863281,256.95001220703125,257.6499938964844,30590800,264.9604995727539,263.63622009277344,1,Bullish,0.0
2026-03-11,260.80999755859375,262.1300048828125,259.54998779296875,261.0899963378906,26218900,264.3169998168945,263.38953186035155,1,Bullish,0.0
2026-03-12,255.75999450683594,258.95001220703125,254.17999267578125,258.6600036621094,40794000,263.32999954223635,263.0346499633789,1,Bullish,0.0
2026-03-13,250.1199951171875,256.3299865722656,249.52000427246094,255.47999572753906,36930000,262.7494987487793,262.58055572509767,1,Bullish,0.0
2026-03-16,252.82000732421875,253.88999938964844,249.8800048828125,252.11000061035156,32074200,262.6014991760254,262.2048391723633,1,Bullish,0.0
2026-03-17,254.22999572753906,255.1300048828125,252.17999267578125,252.9600067138672,32361600,262.1189987182617,261.87430603027343,1,Bullish,0.0
2026-03-18,249.94000244140625,254.94000244140625,249.0,252.6300048828125,35757900,261.39849853515625,261.53290283203125,-1,Bearish,-2.0
2026-03-19,248.9600067138672,251.8300018310547,247.3000030517578,249.39999389648438,34864100,260.8174995422363,261.26980865478515,-1,Bearish,0.0
2026-03-20,247.99000549316406,249.1999053955078,246.0,248.11000061035156,87981315,259.9880004882813,261.0278765869141,-1,Bearish,0.0
